route,kind,typ,t,dmin,v,vmax2s,plans,cot,low,lunge,revthr
4183,vehicle,vehicle.dodge.charger_2020,15.1,0.0,4.83,5.01,"[[13.2, 0.0, 'rev', -1.56, 0.52, 0.75, 0.0], [13.7, 0.59, 'go', 3.87, 3.97, 0.75, 0.0], [14.2, 1.74, 'go', 6.58, 3.75, 0.75, 0.0], [14.7, 3.89, 'go', 21.48, 7.72, 0.75, 0.0]]",Nudge right to avoid the vehicle encroaching from the left,False,True,True
4183,vehicle,vehicle.lincoln.mkz_2017,25.6,0.0,5.62,5.95,"[[23.7, 1.12, 'go', 12.28, 5.23, 0.75, 0.0], [24.2, 2.64, 'go', 8.66, 2.78, 0.6964166676548993, 0.0], [24.7, 4.44, 'go', 20.95, 7.89, 0.75, 0.0], [25.2, 5.25, 'go', 14.19, 4.78, 0.0, 0.0]]",Nudge to the right to increase clearance from the stopped vehicle blocking the lane,False,False,False
4183,vehicle,vehicle.lincoln.mkz_2020,91.1,0.0,2.17,5.23,"[[89.3, 5.19, 'go', 5.64, 1.36, 0.0, 1.0], [89.8, 0.0, 'rev', -4.53, 1.57, 0.75, 0.0], [90.3, 0.64, 'go', 7.74, 3.35, 0.75, 0.0], [90.9, 2.25, 'go', 4.46, 1.41, 0.0, 1.0]]",Nudge to the right to clear the stopped lead vehicle blocking the lane,True,True,True
4183,vehicle,vehicle.ford.mustang,151.55,0.0,0.08,0.18,"[[149.7, 0.0, 'stay', 1.02, 0.34, 0.0, 1.0], [150.2, 0.0, 'rev', -2.42, 0.82, 0.75, 0.0], [150.7, 0.01, 'rev', -3.51, 1.19, 0.75, 0.0], [151.2, 0.0, 'go', 2.74, 0.93, 0.75, 0.0]]","Stop and hold position because a stopped white car is blocking our lane directly ahead, re",True,True,True
4468,layout,traffic.traffic_light,12.0,0.0,11.83,11.97,"[[10.1, 6.55, 'go', 23.89, 8.16, 0.75, 0.0], [10.6, 8.71, 'go', 29.18, 9.79, 0.75, 0.0], [11.1, 10.69, 'go', 38.56, 13.05, 0.75, 0.0], [11.6, 10.63, 'go', 19.05, 12.57, 0.75, 0.0]]",Nudge left to increase clearance to the stopped car with an open door on the right,False,False,False
4669,layout,static.prop.mesh,19.0,0.0,3.37,3.6,"[[17.1, 0.0, 'rev', -1.34, 0.4, 0.0, 1.0], [17.6, 0.0, 'go', 1.39, 0.46, 0.75, 0.0], [18.1, 0.66, 'go', 7.22, 2.99, 0.75, 0.0], [18.6, 1.92, 'go', 6.8, 3.16, 0.75, 0.0]]",Change lanes to the left and accelerate due to a slow/stopped lead vehicle blocking the ri,False,True,False
4669,vehicle,vehicle.chevrolet.impala,12.2,0.0,11.39,11.42,"[[10.6, 7.78, 'go', 26.04, 8.78, 0.75, 0.0], [11.1, 9.91, 'go', 40.65, 14.18, 0.75, 0.0], [11.6, 9.8, 'go', 15.96, 10.66, 0.75, 0.0], [12.1, 11.33, 'go', 21.41, 7.05, 0.0, 1.0]]",Reduce speed and turn left due to an oncoming vehicle,False,False,False
4683,layout,static.prop.mesh,16.45,0.0,6.53,8.73,"[[14.6, 4.49, 'go', 24.28, 9.0, 0.75, 0.0], [15.1, 5.34, 'go', 11.74, 5.66, 0.75, 0.0], [15.6, 7.69, 'go', 27.59, 9.78, 0.75, 0.0], [16.1, 8.72, 'go', 19.96, 6.74, 0.0, 1.0]]",Adjust speed and keep safe distance due to the lead vehicle ahead,False,False,False
4937,vehicle,vehicle.ford.mustang,15.15,0.0,6.63,7.58,"[[13.3, 2.16, 'go', 10.07, 3.83, 0.75, 0.0], [13.8, 4.08, 'go', 18.52, 6.57, 0.75, 0.0], [14.3, 5.17, 'go', 10.38, 5.42, 0.75, 0.0], [14.8, 7.35, 'go', 13.17, 5.48, 0.0, 1.0]]",Nudge right to increase clearance to the vehicle encroaching from the left,False,False,False
4937,vehicle,vehicle.mini.cooper_s_2021,28.5,0.0,0.81,0.84,"[[26.8, 0.29, 'stay', 0.88, 0.26, 0.0, 1.0], [27.3, 0.0, 'go', 2.36, 0.78, 0.75, 0.0], [27.8, 0.14, 'go', 2.33, 0.77, 0.75, 0.0], [28.3, 0.61, 'go', 4.53, 1.54, 0.75, 0.0]]",Nudge to the left to clear the parked vehicle blocking the right side of our lane,True,True,False
4937,vehicle,vehicle.lincoln.mkz_2020,42.1,0.0,3.03,3.24,"[[40.3, 0.0, 'rev', -0.66, 0.2, 0.0, 1.0], [40.8, 0.0, 'rev', -2.29, 0.76, 0.75, 0.0], [41.3, 0.68, 'go', 5.83, 2.24, 0.75, 0.0], [41.8, 1.93, 'go', 11.55, 4.35, 0.75, 0.0]]",Slow down to create a gap for merging left because our right lane is blocked ahead by stop,False,True,True
4937,vehicle,vehicle.lincoln.mkz_2017,43.8,0.0,4.3,4.78,"[[42.3, 2.77, 'go', 13.26, 5.09, 0.75, 0.0], [42.8, 4.59, 'go', 13.76, 4.58, 0.0, 0.0], [43.3, 3.56, 'go', 14.98, 5.32, 0.75, 0.0], [43.8, 4.3, 'go', 22.33, 8.1, 0.75, 0.0]]",Change lanes to the right to bypass the slow/stopped lead vehicle blocking the current lan,False,False,False
